,County,State,riskLevels,vaccination Ratio,actualvaccine,Death,Female,Male,10~14,15~19,20~24,25~34,35~44,45~54,55~64,65~74,75~84,85 plus
0,Appling County,GA,3,0.304,6597,84,3435,3177,68,205,331,756,782,1027,1201,1329,728,201
1,Atkinson County,GA,3,0.32,3308,25,1697,1606,52,137,225,480,509,510,581,480,265,78
2,Bacon County,GA,5,0.264,3454,49,1882,1547,29,103,131,350,447,570,630,703,380,114
3,Baker County,GA,3,0.401,1428,13,758,670,30,39,74,154,157,194,292,304,141,45
4,Baldwin County,GA,3,0.389,19990,158,11125,8892,403,857,810,2036,2811,3008,3977,3682,1807,657
5,Banks County,GA,3,0.26,5909,51,3202,2725,77,201,263,477,640,862,1255,1250,715,195
6,Barrow County,GA,5,0.348,32897,166,18459,14451,795,1856,1767,3676,4693,5561,6050,5103,2744,721
7,Bartow County,GA,5,0.324,40416,281,21935,18478,660,1792,1990,4360,5111,6526,7972,7161,3836,1085
8,Ben Hill County,GA,3,0.348,6690,87,3689,2996,156,329,329,653,756,906,1262,1396,720,194
9,Berrien County,GA,3,0.286,6476,54,3609,2874,86,289,294,652,730,963,1223,1203,798,254
10,Bibb County,GA,3,0.393,69672,523,39791,29723,1584,3594,3545,8021,8635,10431,13218,12326,6027,2413
11,Bleckley County,GA,3,0.304,4673,58,2634,2035,83,190,274,527,530,606,869,882,534,192
12,Brantley County,GA,3,0.218,5116,61,2799,2322,61,163,209,471,563,780,1048,1086,576,166
13,Brooks County,GA,5,0.399,7162,56,4028,3148,129,302,312,664,840,994,1415,1353,848,333
14,Bryan County,GA,3,0.421,18960,47,10599,8375,511,1334,1217,2246,2904,3055,3273,2850,1244,374
15,Bulloch County,GA,3,0.292,27339,153,15119,12188,618,1418,1615,3115,3742,4090,4975,4559,2434,820
16,Burke County,GA,5,0.414,10694,68,6052,4654,255,574,469,1160,1400,1580,2136,1986,899,264
17,Butts County,GA,3,0.284,8260,93,4586,3688,112,292,347,715,978,1234,1738,1700,935,243
18,Calhoun County,GA,3,0.426,3057,20,1676,1367,49,142,110,331,426,474,602,560,258,120
19,Camden County,GA,3,0.337,20860,80,11916,8957,499,1211,1196,2271,2557,2716,3912,3973,2037,518
20,Candler County,GA,3,0.366,4687,72,2506,2122,82,187,224,488,558,707,848,921,518,168
21,Carroll County,GA,3,0.321,44846,270,24577,20059,732,1927,2145,4930,6065,7274,8381,7766,4376,1350
22,Catoosa County,GA,3,0.335,26197,83,14120,11946,517,1375,1340,2555,3076,3844,4571,5009,3007,956
23,Charlton County,GA,3,0.196,3098,50,1728,1369,38,132,122,295,306,423,652,633,392,108
24,Chatham County,GA,3,0.476,155295,547,85105,70099,3600,7747,9508,21716,23496,22612,25469,24401,12614,4477
25,Chattahoochee County,GA,3,0.177,2262,17,1104,1138,78,179,491,375,257,214,269,259,111,33
26,Chattooga County,GA,5,0.321,9391,82,5088,4320,90,294,416,910,1051,1447,1801,1929,1126,359
