,County,State,riskLevels,vaccination Ratio,actualvaccine,Death,Female,Male,0~15,12~15,16~25,26~34,35~44,45~54,55~64,65~74,75 plus
0,Albany County,NY,2,0.644,209471,368,107485,106451,6778,7763,26943,29331,32617,32626,37908,29527,20162
1,Allegany County,NY,3,0.362,17841,91,10497,8491,544,614,2349,1498,2073,2558,3742,3703,2630
2,Bronx County,NY,2,0.532,886472,6664,477643,405337,26704,43663,123736,121083,140365,146545,152566,97754,61291
3,Broome County,NY,3,0.552,111756,379,62101,53380,3364,3942,16045,12908,14180,15330,22514,18547,14199
4,Cattaraugus County,NY,3,0.468,38979,96,19430,16292,1164,1363,3835,3033,4270,5151,7432,6811,4500
5,Cayuga County,NY,3,0.511,41703,100,22718,19902,1459,1675,4823,4064,5236,6021,8640,7354,5018
6,Chautauqua County,NY,3,0.494,68788,153,36620,31000,1976,2317,7609,6155,7814,9606,13705,12173,9018
7,Chemung County,NY,3,0.5,45157,142,22543,18565,1332,1573,4615,4188,5090,6061,8333,6624,4908
8,Chenango County,NY,3,0.526,26582,85,14196,12530,712,827,2683,2375,3037,3740,5668,4948,3608
9,Clinton County,NY,3,0.63,53368,33,26449,24852,1806,2039,6288,5840,7048,7430,10139,7763,5352
10,Columbia County,NY,2,0.64,41410,107,20537,18781,1100,1275,3874,3892,4775,5621,7782,7618,5067
11,Cortland County,NY,3,0.512,26026,69,13915,11641,885,1018,3430,2646,3195,3557,5044,4040,2763
12,Delaware County,NY,3,0.497,23730,40,12023,10893,524,632,2275,1914,2406,3065,4699,4677,3473
13,Dutchess County,NY,3,0.589,190998,480,102012,88192,5862,7175,26128,19851,24337,28862,37699,28463,19911
14,Erie County,NY,2,0.592,583475,1871,317686,270221,19807,22874,77090,74677,78004,82783,107804,87527,62342
15,Essex County,NY,2,0.627,24469,29,12381,11507,740,844,2437,2204,2800,3305,5004,4405,3134
16,Franklin County,NY,3,0.547,29230,15,13709,12990,879,1001,2679,2719,3206,3789,5650,4750,3169
17,Fulton County,NY,3,0.461,26317,97,13720,11661,558,686,2663,2262,3037,3777,5238,4707,3232
18,Genesee County,NY,2,0.512,31608,126,16807,14428,715,922,3602,3278,3685,4499,6620,5238,4003
19,Greene County,NY,2,0.534,27696,82,14481,12516,717,833,2546,2539,3191,4048,5841,5100,3526
20,Hamilton County,NY,3,0.771,3688,3,1634,1625,51,56,304,240,289,357,746,825,524
21,Herkimer County,NY,3,0.503,33039,115,17248,14515,904,1110,3320,2718,3553,4391,6466,6070,4254
22,Jefferson County,NY,3,0.584,76150,70,31274,30825,1847,2230,11112,8673,8186,7654,10350,8633,5734
23,Kings County,NY,2,0.535,1573366,10680,831205,719701,43355,60219,201133,294798,272757,232789,229548,173419,107115
24,Lewis County,NY,3,0.441,12245,36,6464,5585,327,387,1177,976,1286,1719,2746,2358,1641
25,Livingston County,NY,2,0.517,34654,63,18847,16028,1160,1301,4374,3027,3946,4846,7336,6175,4176
26,Madison County,NY,3,0.534,40315,96,25278,21668,1590,1818,6537,4321,5530,6696,9622,7747,5089
27,Monroe County,NY,2,0.621,487430,1148,259065,223023,17765,20304,65458,61212,64583,68503,87174,71319,51744
28,Montgomery County,NY,3,0.566,29980,133,16187,13766,766,915,3309,2898,3662,4405,5807,5438,3684
29,Nassau County,NY,3,0.669,1018258,3239,546745,479348,35278,43995,137299,113210,140661,160758,188004,146930,106541
30,New York County,NY,2,0.698,1308515,4588,681653,603653,33539,41225,181005,269410,206903,175522,171798,142123,110642
31,Niagara County,NY,2,0.568,127299,381,67235,57335,3666,4383,14401,12739,15282,18120,25513,21080,14553
32,Oneida County,NY,3,0.528,129962,532,69450,60021,3949,4735,15975,13015,15978,18395,24999,21613,15954
33,Onondaga County,NY,3,0.639,312691,701,166834,143448,11543,13044,46055,37726,40727,43238,56201,44963,31757
34,Ontario County,NY,3,0.597,68973,95,38449,33109,2778,3076,8929,7308,9099,10233,13509,11937,7999
35,Orange County,NY,3,0.546,233329,748,113294,98529,7259,9392,29231,23176,29438,36033,40385,28485,18240
36,Orleans County,NY,3,0.464,20177,83,10577,9552,537,641,2218,1970,2372,2898,4379,3568,2320
37,Oswego County,NY,3,0.51,63714,100,35924,31191,2144,2517,8191,6637,8149,10154,14234,11056,6844
38,Otsego County,NY,3,0.53,33594,50,18634,16260,1045,1176,4034,3456,4126,4760,6689,6353,4713
39,Putnam County,NY,2,0.623,66702,95,35486,32498,2239,2755,8850,6939,9221,11356,14013,10031,6308
40,Queens County,NY,2,0.678,1740734,10090,898909,821806,53834,72966,223474,271218,288781,278913,282266,196535,128670
41,Rensselaer County,NY,2,0.608,103534,154,53552,46871,3240,3663,14267,12758,13150,14383,18380,15318,10008
42,Richmond County,NY,3,0.567,304314,1898,159748,143920,7953,11697,40102,35939,42802,48895,55737,42952,26944
43,Rockland County,NY,2,0.532,191653,766,100393,90748,6994,8889,26986,21117,26382,29951,33861,25918,20053
